frame,id,raw_x,raw_y,comp_x,comp_y,dx,dy,dist
44,8,1582,861,1365,893,217,-32,219.35
44,11,832,482,510,482,322,0,322.00
44,13,1218,484,942,479,276,5,276.05
44,16,865,849,562,891,303,-42,305.90
44,17,199,487,-197,498,396,-11,396.15
44,9,1591,592,1364,593,227,-1,227.00
45,1,1167,595,888,603,279,-8,279.11
45,2,1517,708,1284,724,233,-16,233.55
45,3,1045,788,759,820,286,-32,287.78
45,4,1248,609,979,618,269,-9,269.15
45,5,522,639,168,662,354,-23,354.75
45,6,721,488,384,491,337,-3,337.01
45,7,669,599,330,616,339,-17,339.43
45,8,1586,861,1368,893,218,-32,220.34
45,11,833,481,509,481,324,0,324.00
45,13,1216,483,938,478,278,5,278.04
45,16,865,849,560,891,305,-42,307.88
45,17,200,488,-198,499,398,-11,398.15
45,9,1590,590,1361,591,229,-1,229.00
46,1,1166,594,885,602,281,-8,281.11
46,2,1518,706,1284,722,234,-16,234.55
46,3,1046,787,759,819,287,-32,288.78
46,4,1246,608,975,617,271,-9,271.15
